environment,command,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
quiet,right,-361.82376,74.51154,-11.448484,17.49991,-4.603544,-19.329842,2.8461034,-7.193355,-3.610989,-0.7194285,-5.0480494,-5.6380744,-8.130008
quiet,right,-337.8438,73.726456,-9.656934,16.887234,-3.0368357,-15.737287,1.1180016,-6.494041,-1.5870774,2.2850642,-5.334922,-5.654864,-6.279203
quiet,right,-320.66882,68.61815,-9.363828,18.650383,-8.249064,-14.909586,0.16116075,-8.966928,1.7194029,-0.114102736,-6.589163,-7.3281913,-11.712846
quiet,right,-350.21887,67.49537,-4.389426,15.383089,-2.008854,-18.1977,7.145839,-10.253512,-5.220798,1.1779076,-8.2274885,-9.070541,-10.142162
quiet,right,-335.86313,72.99859,-5.187901,18.341936,-1.6336474,-16.446701,1.3697964,-8.236121,-1.903747,1.9479975,-6.7966523,-5.2317443,-5.6454654
quiet,right,-316.43405,62.43454,-0.9145622,27.083258,-6.3070707,-9.6217575,-1.8887217,-2.0685644,-3.2343724,0.011220963,-6.3364034,-5.644096,-5.441968
quiet,right,-323.68192,63.499596,-3.056598,25.315323,-0.09144518,-10.718233,2.0942528,-13.901092,0.95403624,1.1148789,-7.357659,-3.9600868,-7.910366
quiet,stop,-403.5048,66.81519,-2.3215213,0.5738128,-4.4105945,-7.2296033,13.192646,-11.485181,-6.1778297,3.0728393,-15.434787,1.4607861,-5.866504
quiet,stop,-375.71268,63.97954,-5.11229,6.425015,0.75632465,-11.078031,7.884762,-11.183962,-1.6638478,-0.37241668,-9.7486,-0.114511974,-8.798811
quiet,stop,-385.7506,74.71717,-3.483184,0.10126432,-1.480402,-13.706064,10.904342,-9.722201,-2.9355319,2.833745,-10.895029,-1.8503476,-5.0367913
quiet,stop,-384.5214,71.94981,-4.7989674,5.5362835,2.798728,-7.884493,5.710657,-8.322116,0.96977127,7.45046,-12.077833,-0.033892944,-9.741348
quiet,stop,-357.6161,66.78365,-6.484802,-0.9441158,-0.9803763,-11.407823,9.386719,-6.5836477,-2.09394,2.4143243,-13.993562,0.16764437,-3.9745796
quiet,stop,-359.03964,66.59395,-6.764249,7.0877566,-3.2065804,-15.119057,2.8632545,-9.239369,-1.0741627,3.5769835,-7.7376785,2.4668703,-8.783914
quiet,stop,-377.61505,67.75901,-4.2795725,12.340515,-0.2740404,-10.985026,5.3772163,-10.705834,2.8968616,8.190385,-8.443702,-0.81556004,-6.982001
quiet,stop,-351.38416,65.44878,-3.7735283,4.239326,0.05403113,-13.733705,4.716353,-10.925133,-0.061451342,2.1137712,-6.9770403,-1.6154084,-10.375986
quiet,stop,-379.59006,67.9183,-3.2252176,8.662877,2.4845848,-11.530988,10.490295,-11.407678,2.2654777,3.5786426,-9.870661,0.48041606,-3.6591017
quiet,stop,-349.89713,71.64615,-11.088207,-0.42630005,0.24901484,-8.533864,3.987191,-11.184932,0.13823664,4.4058776,-10.945826,-4.1795907,-9.387681
noisy,backward,-357.60583,103.9969,-57.0343,12.554939,2.7366107,-11.463318,-9.71068,3.9032688,-19.232761,-1.7742584,-12.21815,-6.314161,-0.5178809
noisy,backward,-354.8389,89.88202,-63.446587,20.394642,-4.42425,-23.108738,-5.4672055,0.35376993,-17.42167,-4.263367,-15.21482,-13.811934,1.0315429
noisy,backward,-268.1354,77.26696,-102.62259,15.805901,-7.085704,-23.45266,-1.6904064,9.478733,-12.99341,1.9841236,-17.043356,-17.320168,11.001642
noisy,backward,-264.493,79.06393,-93.328224,29.218506,-6.586654,-38.894417,0.61079127,12.856012,-11.435416,-7.438512,-8.84983,-9.9457035,-0.9923774
noisy,backward,-266.29764,77.62494,-92.629974,11.103183,-2.3293333,-10.479563,4.8853025,12.233462,-30.047451,-8.004096,-7.543421,-8.264956,11.298035
noisy,backward,-315.88812,95.45786,-72.929596,11.074086,-3.2556765,-11.289848,-0.22097906,0.0023794428,-15.125244,-4.0159307,-12.549002,-13.169398,6.8795733
noisy,backward,-287.93723,89.41373,-72.34148,11.870445,3.3821034,-17.523516,-9.224559,4.5013447,-14.818789,-6.240992,-11.799827,-16.499008,3.136002
noisy,backward,-299.13126,90.40629,-68.438034,15.699426,-1.0216362,-15.263266,0.16837582,-1.5107527,-17.682257,-3.4378614,-10.665485,-6.577559,3.598171
noisy,backward,-314.8535,97.15269,-62.17348,12.72202,-1.8562279,-15.87467,-4.8641434,0.1450773,-17.336037,-3.6147296,-12.739937,-15.35022,-0.42624232
noisy,forward,-319.51428,105.73357,-25.382654,5.690674,-6.8864884,-5.582634,-5.5881596,-7.857945,-12.941889,-10.426476,-7.4199023,-11.442459,-5.6223373
noisy,forward,-325.13254,105.49169,-67.40423,17.47502,4.6680927,-12.528824,8.623646,4.893348,-24.084625,-4.655331,-6.138387,-11.575356,-0.5680898
noisy,forward,-415.4536,104.048065,-26.3544,2.038809,-4.1240196,-5.6964684,-3.650673,-6.177596,-11.442794,-10.645879,-4.0519156,-13.36053,-4.612201
noisy,forward,-372.269,110.43684,-33.75511,2.9092987,-9.604606,-9.04621,-8.715233,-2.2304916,-19.158466,-6.737888,-2.3690782,-16.064651,-3.5623338
noisy,forward,-306.37726,111.82689,-29.991352,-2.1387982,-5.186598,-8.161552,-8.769826,-5.265251,-11.741744,-10.798318,-10.736464,-14.681613,-6.232663
noisy,forward,-307.35938,104.159744,-28.277113,3.247024,-4.298564,-3.7557278,-5.659145,-5.048896,-10.726505,-6.8915486,-5.4163895,-13.759502,-3.3392124
noisy,forward,-224.16579,70.70339,-77.74191,13.035849,-31.021273,-15.121294,5.5895195,-9.867197,-11.436141,-3.280092,-11.422845,-7.5700583,14.201383
noisy,forward,-287.6766,87.20324,-58.621895,7.0263004,-10.097735,-11.30918,1.084728,5.126506,-20.144428,-3.411571,-5.321949,-21.280113,1.3565028
noisy,forward,-249.09232,92.9047,-63.22009,5.304528,-9.779671,-11.564998,1.8914448,3.3956103,-16.00915,3.8990283,-10.694326,-15.696378,-0.41026914
noisy,forward,-282.9168,94.83098,-63.282513,14.96082,-14.027172,-7.2422414,-0.10666463,3.2043755,-17.5257,-3.795155,-16.633741,-8.765048,11.645092
noisy,left,-311.77682,58.55019,-45.659355,6.7575316,-35.342766,17.961922,-8.502656,-12.859743,0.29201674,-9.714574,-7.2966495,-20.835981,-5.3225746
noisy,left,-240.85088,52.758793,-57.25889,-3.098954,-18.454336,-15.310534,-21.281567,12.300076,-1.8443677,-0.7963193,-12.817918,-5.1328444,7.92467
noisy,left,-293.37582,56.59498,-40.251247,9.734075,-34.162052,8.137588,-8.459427,-17.496296,5.472033,-8.754122,-8.404083,-17.439716,-6.3079247
noisy,left,-246.97961,49.8931,-56.95065,14.693899,-21.622877,12.772131,-16.94266,-4.815167,-0.79262125,1.237874,-11.192098,-17.783676,-7.10726
noisy,left,-270.469,56.315884,-54.957996,13.657735,-28.37135,20.32767,-11.229254,-9.657307,-4.988833,-4.9425073,-6.3776207,-9.639624,-10.533688
noisy,left,-216.29535,46.55367,-62.854668,1.2889389,-30.562912,20.696434,-9.830172,-11.101128,5.055863,-13.100361,-3.254992,-11.696631,-12.408745
noisy,left,-216.29535,46.55367,-62.854668,1.2889389,-30.562912,20.696434,-9.830172,-11.101128,5.055863,-13.100361,-3.254992,-11.696631,-12.408745
noisy,left,-228.92468,61.63053,-52.820225,-6.402635,-51.168915,-14.03409,-13.176573,9.926082,-16.917894,1.7603134,-8.535314,-20.36975,6.443147
noisy,left,-274.37912,63.657127,-46.70119,-10.795504,-34.62092,-0.66175056,-16.670425,-3.4521666,-3.9073617,6.3762875,-10.809474,-12.711142,-3.3316755
noisy,left,-248.09717,59.390484,-49.754272,3.4027662,-38.694378,-4.7429876,-19.07363,16.30117,-4.965453,-0.6909538,-11.568483,-17.397991,9.345515
noisy,right,-254.85085,37.7792,-72.39282,24.949244,-20.712626,-7.2637706,-28.31161,1.1356033,-4.1027846,-11.858971,1.4831923,-4.0907583,-5.1362615
noisy,right,-243.2828,38.83629,-67.35175,25.61113,-32.041874,-11.076354,-36.615265,0.06508027,-15.67818,-6.9966884,17.41489,-10.100788,-6.3826356
